id,gene_symbol,gene_name,entrez_gene_id,homologene_group_id
13172,Dlx3,distal-less homeobox 3,13393,74544
13173,Dlx4,distal-less homeobox 4,13394,7292
13174,Dlx5,distal-less homeobox 5,13395,3825
13175,Dlx6,distal-less homeobox 6,13396,87855
79890,Dmbx1,diencephalon/mesencephalon homeobox 1,140477,15639
88733,Dmrt3,doublesex and mab-3 related transcription factor 3,240590,10935
35576,Dmrtb1,"DMRT-like family B with proline-rich C-terminal, 1",56296,13207
85070,Dnahc2,"dynein, axonemal, heavy chain 2",216851,
86552,Dner,delta/notch-like EGF-related receptor,227325,26722
13212,Dnmt1,DNA methyltransferase (cytosine-5) 1,13433,124071
13214,Dnmt3a,DNA methyltransferase 3A,13435,7294
13215,Dnmt3b,DNA methyltransferase 3B,13436,56000
33718,Dnmt3l,DNA (cytosine-5-)-methyltransferase 3-like,54427,8362
13226,Doc2b,"double C2, beta",13447,20796
29596,Dpf1,"D4, zinc and double PHD fingers family 1",29861,3415
19471,Dpf2,"D4, zinc and double PHD fingers family 2",19708,21265
41755,Dpysl5,dihydropyrimidinase-like 5,65254,41347
42399,Drap1,Dr1 associated protein 1 (negative cofactor 2 alpha),66556,4703
46274,Draxin,dorsal inhibitory axon guidance protein,70433,19233
13267,Drd1,dopamine receptor D1,13488,30992
13268,Drd2,dopamine receptor D2,13489,22561
13269,Drd3,dopamine receptor D3,13490,623
13270,Drd4,dopamine receptor D4,13491,20215
13271,Drd5,dopamine receptor D5,13492,20216
13273,Drg1,developmentally regulated GTP binding protein 1,13494,3060
13285,Dsc2,desmocollin 2,13506,8397
13286,Dsc3,desmocollin 3,13507,1462
77592,Dscaml1,Down syndrome cell adhesion molecule like 1,114873,79549
13289,Dsg1a,desmoglein 1 alpha,13510,1463
86223,Dsg1b,desmoglein 1 beta,225256,1463
84359,Dsg1c,desmoglein 1 gamma,211924,
13291,Dsg3,desmoglein 3,13512,55513
73778,Dsp,desmoplakin,109620,37922
13297,Dst,dystonin,13518,85087
14133,Dtx1,deltex 1 homolog (Drosophila),14357,74522
50039,Dtx2,deltex 2 homolog (Drosophila),74198,56904
56674,Dtx3,deltex 3 homolog (Drosophila),80904,12754
83873,Dtx4,deltex 4 homolog (Drosophila),207521,27781
35685,Dusp14,dual specificity phosphatase 14,56405,5100
43446,Dusp6,dual specificity phosphatase 6,67603,55621
93453,Duxbl1,double homeobox B-like 1,278672,18848
13321,Dvl1,"dishevelled, dsh homolog 1 (Drosophila)",13542,20926
13322,Dvl2,"dishevelled 2, dsh homolog (Drosophila)",13543,20927
13323,Dvl3,"dishevelled 3, dsh homolog (Drosophila)",13544,20928
13334,E2f1,E2F transcription factor 1,13555,3828
88998,E2f2,E2F transcription factor 2,242705,48264
13336,E2f3,E2F transcription factor 3,13557,74413
68559,E2f4,E2F transcription factor 4,104394,1471
13338,E2f5,E2F transcription factor 5,13559,1472
29986,E2f6,E2F transcription factor 6,50496,1473
32159,E2f7,E2F transcription factor 7,52679,18685
73120,E2f8,E2F transcription factor 8,108961,11654
13369,Ebf1,early B cell factor 1,13591,7297
13370,Ebf2,early B cell factor 2,13592,56471
13371,Ebf3,early B cell factor 3,13593,56472
86747,Ebf4,early B cell factor 4,228598,65064
71687,Ece2,endothelin converting enzyme 2,107522,56679
13377,Ecel1,endothelin converting enzyme-like 1,13599,3549
13396,Ednrb,endothelin receptor type B,13618,89
13404,Eed,embryonic ectoderm development,13626,2814
85011,Efemp1,epidermal growth factor-containing fibulin-like extracellular matrix protein 1,216616,3028
13414,Efna1,ephrin A1,13636,3262
13415,Efna2,ephrin A2,13637,1075
13416,Efna3,ephrin A3,13638,3635
13417,Efna4,ephrin A4,13639,3830
13418,Efna5,ephrin A5,13640,1482
13419,Efnb1,ephrin B1,13641,3263
13420,Efnb2,ephrin B2,13642,3019
13421,Efnb3,ephrin B3,13643,1076
13423,Egf,epidermal growth factor,13645,1483
13427,Egfr,epidermal growth factor receptor,13649,74545
13431,Egr1,early growth response 1,13653,56394
13432,Egr2,early growth response 2,13654,20123
13433,Egr3,early growth response 3,13655,37923
13439,Ehf,ets homologous factor,13661,7301
13487,Elf1,E74-like factor 1,13709,7303
45099,Elf2,E74-like factor 2,69257,5006
13488,Elf3,E74-like factor 3,13710,3265
35781,Elf4,E74-like factor 4 (ets domain transcription factor),56501,31036
13489,Elf5,E74-like factor 5,13711,7702
13490,Elk1,"ELK1, member of ETS oncogene family",13712,3832
13491,Elk3,"ELK3, member of ETS oncogene family",13713,3833
13492,Elk4,"ELK4, member of ETS oncogene family",13714,1492
13574,Emx1,empty spiracles homeobox 1,13796,55799
13575,Emx2,empty spiracles homeobox 2,13797,3023
13576,En1,engrailed 1,13798,50663
13577,En2,engrailed 2,13799,55579
13578,Enah,enabled homolog (Drosophila),13800,130639
13581,Enc1,ectodermal-neural cortex 1,13803,2694
13583,Eng,endoglin,13805,92
13591,Eomes,eomesodermin homolog (Xenopus laevis),13813,3971
108486,Ep300,E1A binding protein p300,328572,1094
13597,Epas1,endothelial PAS domain protein 1,13819,1095
13613,Epha1,Eph receptor A1,13835,3835
87096,Epha10,Eph receptor A10,230735,124707
13614,Epha2,Eph receptor A2,13836,20929
13615,Epha3,Eph receptor A3,13837,21083
13616,Epha4,Eph receptor A4,13838,20933
13617,Epha5,Eph receptor A5,13839,55824
13618,Epha6,Eph receptor A6,13840,56396
13619,Epha7,Eph receptor A7,13841,20935
13620,Epha8,Eph receptor A8,13842,22436
92948,Ephb1,Eph receptor B1,270190,20936
13622,Ephb2,Eph receptor B2,13844,37925
13623,Ephb3,Eph receptor B3,13845,20938
13624,Ephb4,Eph receptor B4,13846,20939
13626,Ephb6,Eph receptor B6,13848,20940
13644,Erbb2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",13866,3273
13645,Erbb3,v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian),13867,20457
13647,Erbb4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian),13869,21084
13652,Ereg,epiregulin,13874,1097
13653,Erf,Ets2 repressor factor,13875,68516
13654,Erg,avian erythroblastosis virus E-26 (v-ets) oncogene related,13876,15848
13759,Esr1,estrogen receptor 1 (alpha),13982,47906
13760,Esr2,estrogen receptor 2 (beta),13983,1100
26127,Esrra,"estrogen related receptor, alpha",26379,20941
26128,Esrrb,"estrogen related receptor, beta",26380,69108
26129,Esrrg,estrogen-related receptor gamma,26381,55581
13761,Esx1,"extraembryonic, spermatogenesis, homeobox 1",13984,49152
23624,Ets1,"E26 avian leukemia oncogene 1, 5' domain",23871,3837
23625,Ets2,"E26 avian leukemia oncogene 2, 3' domain",23872,3838
13786,Etv1,ets variant 1,14009,3636
13785,Etv2,ets variant 2,14008,7308
26794,Etv3,ets variant 3,27049,21085
183554,Etv3l,ets variant 3-like,546801,79096
18378,Etv4,ets variant 4,18612,1504
68321,Etv5,ets variant 5,104156,3276
13788,Etv6,ets variant 6,14011,37560
13797,Evi5,ecotropic viral integration site 5,14020,121902
13803,Evl,Ena-vasodilator stimulated phosphoprotein,14026,56752
13805,Evx1,even skipped homeotic gene 1 homolog,14028,1507
13806,Evx2,even skipped homeotic gene 2 homolog,14029,74879
13828,Eya4,eyes absent 4 homolog (Drosophila),14051,3025
13850,Faah,fatty acid amide hydrolase,14073,68184
120110,Fam189a2,"family with sequence similarity 189, member A2",381217,3540
27743,Fam3c,"family with sequence similarity 3, member C",27999,8926
108911,Far2,fatty acyl CoA reductase 2,330450,69247
13879,Fas,Fas (TNF receptor superfamily member 6),14102,27
13884,Fat1,FAT tumor suppressor homolog 1 (Drosophila),14107,66302
92930,Fat3,FAT tumor suppressor homolog 3 (Drosophila),270120,82252
29829,Fbxw4,F-box and WD-40 domain protein 4,30838,32197
30242,Fbxw7,F-box and WD-40 domain protein 7,50754,117451
13910,Fcna,ficolin A,14133,117949
13911,Fcnb,ficolin B,14134,1518
77439,Ferd3l,Fer3-like (Drosophila),114712,14136
92072,Fev,FEV (ETS oncogene family),260298,9706
87970,Fez1,fasciculation and elongation protein zeta 1 (zygin I),235180,21063
34002,Fezf2,Fez family zinc finger 2,54713,9957
13941,Fgf1,fibroblast growth factor 1,14164,625
13942,Fgf10,fibroblast growth factor 10,14165,3284
13944,Fgf12,fibroblast growth factor 12,14167,10874
13946,Fgf14,fibroblast growth factor 14,14169,3037
13947,Fgf15,fibroblast growth factor 15,14170,3754
56673,Fgf16,fibroblast growth factor 16,80903,11057
13948,Fgf17,fibroblast growth factor 17,14171,2872
13949,Fgf18,fibroblast growth factor 18,14172,2867
13950,Fgf2,fibroblast growth factor 2,14173,1521
56628,Fgf20,fibroblast growth factor 20,80857,10527
41236,Fgf23,fibroblast growth factor 23,64654,10771
13951,Fgf3,fibroblast growth factor 3,14174,3841
13952,Fgf4,fibroblast growth factor 4,14175,1522
13953,Fgf5,fibroblast growth factor 5,14176,3283
13954,Fgf6,fibroblast growth factor 6,14177,10870
13955,Fgf7,fibroblast growth factor 7,14178,7316
13956,Fgf8,fibroblast growth factor 8,14179,7715
13957,Fgf9,fibroblast growth factor 9,14180,1523
13958,Fgfbp1,fibroblast growth factor binding protein 1,14181,3766
13959,Fgfr1,fibroblast growth factor receptor 1,14182,69065
13960,Fgfr2,fibroblast growth factor receptor 2,14183,22566
13961,Fgfr3,fibroblast growth factor receptor 3,14184,55437
13963,Fgfr4,fibroblast growth factor receptor 4,14186,20461
78019,Fgfrl1,fibroblast growth factor receptor-like 1,116701,11067
87798,Fgl1,fibrinogen-like protein 1,234199,37927
13967,Fgl2,fibrinogen-like protein 2,14190,4864
63140,Fibcd1,fibrinogen C domain containing 1,98970,122246
13982,Figf,c-fos induced growth factor,14205,3288
26656,Figla,folliculogenesis specific basic helix-loop-helix,26910,49294
14024,Fli1,Friend leukemia integration 1,14247,55624
14031,Flt1,FMS-like tyrosine kinase 1,14254,20463
14032,Flt3,FMS-like tyrosine kinase 3,14255,3040
14034,Flt4,FMS-like tyrosine kinase 4,14257,7321
14038,Fmo1,flavin containing monooxygenase 1,14261,55520
14042,Fmr1,fragile X mental retardation syndrome 1,14265,1531
14045,Fn1,fibronectin 1,14268,1533
106383,Fndc3a,fibronectin type III domain containing 3A,319448,8952
14058,Fos,FBJ osteosarcoma oncogene,14281,3844
14061,Fosl2,fos-like antigen 2,14284,3845
15150,Foxa1,forkhead box A1,15375,3307
15151,Foxa2,forkhead box A2,15376,7762
15152,Foxa3,forkhead box A3,15377,3308
40891,Foxb1,forkhead box B1,64290,8138
14017,Foxb2,forkhead box B2,14240,32028
17069,Foxc1,forkhead box C1,17300,20373
14011,Foxc2,forkhead box C2,14234,21091
15005,Foxd1,forkhead box D1,15229,3290
17070,Foxd2,forkhead box D2,17301,3292
14997,Foxd3,forkhead box D3,15221,49239
14014,Foxd4,forkhead box D4,14237,83248
15003,Foxf1,forkhead box F1,15227,1114
14015,Foxf2,forkhead box F2,14238,1115
15004,Foxg1,forkhead box G1,15228,3843
13883,Foxh1,forkhead box H1,14106,2914
14010,Foxi1,forkhead box I1,14233,8140
14999,Foxj1,forkhead box J1,15223,1117
38070,Foxj2,forkhead box J2,60611,10187
87088,Foxj3,forkhead box J3,230700,35243
17193,Foxk1,forkhead box K1,17425,82414
44679,Foxk2,forkhead box K2,68837,18748
14018,Foxl1,forkhead box L1,14241,48335
14012,Foxm1,forkhead box M1,14235,7318
14994,Foxn1,forkhead box N1,15218,2664
14013,Foxn2,forkhead box N2,14236,31078
47216,Foxn3,forkhead box N3,71375,3809
78123,Foxn4,forkhead box N4,116810,17526
35738,Foxo1,forkhead box O1,56458,1527
35764,Foxo3,forkhead box O3,56484,31039
33892,Foxo4,forkhead box O4,54601,4342
72814,Foxp1,forkhead box P1,108655,13092
76994,Foxp2,forkhead box P2,114142,33482
20134,Foxp3,forkhead box P3,20371,8516
49964,Foxp4,forkhead box P4,74123,12536
14996,Foxq1,forkhead box Q1,15220,7359
14016,Foxs1,forkhead box S1,14239,20871
14072,Frat1,frequently rearranged in advanced T cell lymphomas,14296,3999
84413,Frat2,frequently rearranged in advanced T cell lymphomas 2,212398,8095
88906,Frem2,Fras1 related extracellular matrix protein 2,242022,18454
20141,Frzb,frizzled-related protein,20378,1126
14090,Fstl1,follistatin-like 1,14314,5144
37655,Fxyd6,FXYD domain-containing ion transport regulator 6,59095,11090
14136,Fyn,Fyn proto-oncogene,14360,48068
14138,Fzd1,frizzled homolog 1 (Drosophila),14362,20750
60546,Fzd10,frizzled homolog 10 (Drosophila),93897,21411
36541,Fzd2,frizzled homolog 2 (Drosophila),57265,20377
14141,Fzd3,frizzled homolog 3 (Drosophila),14365,23004
14142,Fzd4,frizzled homolog 4 (Drosophila),14366,7325
14143,Fzd5,frizzled homolog 5 (Drosophila),14367,2590
14144,Fzd6,frizzled homolog 6 (Drosophila),14368,2617
14145,Fzd7,frizzled homolog 7 (Drosophila),14369,20751
14146,Fzd8,frizzled homolog 8 (Drosophila),14370,40606
14147,Fzd9,frizzled homolog 9 (Drosophila),14371,2619
33684,Gabbr1,"gamma-aminobutyric acid (GABA) B receptor, 1",54393,1132
88950,Gabbr2,"gamma-aminobutyric acid (GABA) B receptor, 2",242425,55902
14166,Gabpa,"GA repeat binding protein, alpha",14390,1543
14167,Gabpb1,"GA repeat binding protein, beta 1",14391,7723
14170,Gabra1,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1",14394,629
14171,Gabra2,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2",14395,20217
14172,Gabra3,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3",14396,20218
14173,Gabra4,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4",14397,631
75040,Gabra5,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5",110886,20219
14175,Gabra6,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6",14399,20220
14176,Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,20221
14177,Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",14401,7327
14178,Gabrb3,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3",14402,633
14179,Gabrd,"gamma-aminobutyric acid (GABA) A receptor, subunit delta",14403,55489
14180,Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",14404,68425
14181,Gabrg1,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1",14405,22570
14182,Gabrg2,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2",14406,22443
14183,Gabrg3,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3",14407,22444
85019,Gabrp,"gamma-aminobutyric acid (GABA) A receptor, pi",216643,22798
36525,Gabrq,"gamma-aminobutyric acid (GABA) A receptor, subunit theta",57249,10233
14184,Gabrr1,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 1",14408,20470
14185,Gabrr2,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 2",14409,20471
14191,Gad1,glutamate decarboxylase 1,14415,635
14193,Gad2,glutamic acid decarboxylase 2,14417,20223
14195,Gal,galanin,14419,7724
14203,Galr1,galanin receptor 1,14427,74396
14204,Galr2,galanin receptor 2,14428,2863
14208,Gap43,growth associated protein 43,14432,1545
14227,Gas1,growth arrest specific 1,14451,1548
14237,Gata2,GATA binding protein 2,14461,32030
14238,Gata3,GATA binding protein 3,14462,1550
14241,Gata6,GATA binding protein 6,14465,68449
43053,Gatad1,GATA zinc finger domain containing 1,67210,56916
87820,Gatad2a,GATA zinc finger domain containing 2A,234366,9766
87178,Gbx1,gastrulation brain homeobox 1,231044,41063
14248,Gbx2,gastrulation brain homeobox 2,14472,1138
14302,Gcg,glucagon,14526,1553
14304,Gch1,GTP cyclohydrolase 1,14528,132
14307,Gcm1,glial cells missing homolog 1 (Drosophila),14531,2702
72051,Gcm2,glial cells missing homolog 2 (Drosophila),107889,3490
14320,Gda,guanine deaminase,14544,3171
14335,Gdf1,growth differentiation factor 1,14559,105644
14336,Gdf10,growth differentiation factor 10,14560,3640
14337,Gdf11,growth differentiation factor 11,14561,21183
23639,Gdf15,growth differentiation factor 15,23886,3576
11951,Gdf2,growth differentiation factor 2,12165,32299
14338,Gdf3,growth differentiation factor 3,14562,7336
14339,Gdf5,growth differentiation factor 5,14563,468
88938,Gdf6,growth differentiation factor 6,242316,40883
88417,Gdf7,growth differentiation factor 7,238057,32177
14342,Gdf9,growth differentiation factor 9,14566,3851
14349,Gdnf,glial cell line derived neurotrophic factor,14573,433
14356,Gfap,glial fibrillary acidic protein,14580,1554
14361,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,14585,3855
14362,Gfra2,glial cell line derived neurotrophic factor family receptor alpha 2,14586,1145
14363,Gfra3,glial cell line derived neurotrophic factor family receptor alpha 3,14587,1146
14377,Ghrh,growth hormone releasing hormone,14601,7731
83947,Ghsr,growth hormone secretagogue receptor,208188,57161
14385,Gja1,"gap junction protein, alpha 1",14609,136
14393,Gjd2,"gap junction protein, delta 2",14617,7734
82074,Glcci1,glucocorticoid induced transcript 1,170772,15773
14408,Gli1,GLI-Kruppel family member GLI1,14632,3859
14409,Gli2,GLI-Kruppel family member GLI2,14633,12725
14410,Gli3,GLI-Kruppel family member GLI3,14634,139
86346,Glis3,GLIS family zinc finger 3,226075,34989
14428,Glp1r,glucagon-like peptide 1 receptor,14652,1558
14430,Glra1,"glycine receptor, alpha 1 subunit",14654,20083
88304,Glra2,"glycine receptor, alpha 2 subunit",237213,31070
74461,Glra3,"glycine receptor, alpha 3 subunit",110304,142
14433,Glra4,"glycine receptor, alpha 4 subunit",14657,69070
14434,Glrb,"glycine receptor, beta subunit",14658,20224
14436,Gls,glutaminase,14660,22726
84969,Gls2,"glutaminase 2 (liver, mitochondrial)",216456,40861
14421,Glul,glutamate-ammonia ligase (glutamine synthetase),14645,37567
121534,Gm1441,"gene model 1441, (NCBI)",384670,
156642,Gm6753,predicted gene 6753,627415,
14472,Gnb4,"guanine nucleotide binding protein (G protein), beta 4",14696,69140
14490,Gnrh1,gonadotropin releasing hormone 1,14714,641
14510,Gpc3,glypican 3,14734,20944
89374,Gpr101,G protein-coupled receptor 101,245424,14273
31869,Gpr123,G protein-coupled receptor 123,52389,18582
84148,Gpr139,G protein-coupled receptor 139,209776,45860
88778,Gpr161,G protein-coupled receptor 161,240888,17824
52047,Gpr165,G protein-coupled receptor 165,76206,85287
87765,Gpr26,G protein-coupled receptor 26,233919,17764
14539,Gpr37,G protein-coupled receptor 37,14763,3875
82624,Gpr37l1,G protein-coupled receptor 37-like 1,171469,3500
86553,Gpr55,G protein-coupled receptor 55,227326,36184
14542,Gpr56,G protein-coupled receptor 56,14766,4156
80092,Gpr6,G protein-coupled receptor 6,140741,38026
14384,Gpr83,G protein-coupled receptor 83,14608,7732
40979,Gpr88,G-protein coupled receptor 88,64378,11104
74944,Gpr98,G protein-coupled receptor 98,110789,19815
40898,Gprc5b,"G protein-coupled receptor, family C, group 5, member B",64297,9435
14551,Gpx1,glutathione peroxidase 1,14775,20155
14554,Gpx3,glutathione peroxidase 3,14778,20480
83373,Grhl1,grainyhead-like 1 (Drosophila),195733,32219
90078,Grhl2,grainyhead-like 2 (Drosophila),252973,32616
14575,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",14799,20226
14576,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",14800,20225
32941,Gria3,"glutamate receptor, ionotropic, AMPA3 (alpha 3)",53623,37353
14578,Gria4,"glutamate receptor, ionotropic, AMPA4 (alpha 4)",14802,20227
14579,Grid1,"glutamate receptor, ionotropic, delta 1",14803,69017
14580,Grid2,"glutamate receptor, ionotropic, delta 2",14804,74399
14581,Grik1,"glutamate receptor, ionotropic, kainate 1",14805,68992
14582,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",14806,40717
14583,Grik3,"glutamate receptor, ionotropic, kainate 3",14807,73901
74793,Grik4,"glutamate receptor, ionotropic, kainate 4",110637,81829
14585,Grik5,"glutamate receptor, ionotropic, kainate 5 (gamma 2)",14809,1578
14586,Grin1,"glutamate receptor, ionotropic, NMDA1 (zeta 1)",14810,7187
14587,Grin2a,"glutamate receptor, ionotropic, NMDA2A (epsilon 1)",14811,645
14588,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",14812,646
14589,Grin2c,"glutamate receptor, ionotropic, NMDA2C (epsilon 3)",14813,647
14590,Grin2d,"glutamate receptor, ionotropic, NMDA2D (epsilon 4)",14814,648
88952,Grin3a,"glutamate receptor ionotropic, NMDA3A",242443,128613
81804,Grin3b,"glutamate receptor, ionotropic, NMDA3B",170483,15606
14548,Grk4,G protein-coupled receptor kinase 4,14772,23158
14592,Grm1,"glutamate receptor, metabotropic 1",14816,649
72230,Grm2,"glutamate receptor, metabotropic 2",108068,20229
72231,Grm3,"glutamate receptor, metabotropic 3",108069,651
92621,Grm4,"glutamate receptor, metabotropic 4",268934,20230
72233,Grm5,"glutamate receptor, metabotropic 5",108071,37354
72234,Grm6,"glutamate receptor, metabotropic 6",108072,20232
14599,Grm8,"glutamate receptor, metabotropic 8",14823,654
86272,Grp,gastrin releasing peptide,225642,1580
14612,Gsc,goosecoid homeobox,14836,7744
83328,Gsc2,goosecoid homebox 2,195333,3884
92892,Gsg1l,GSG1-like,269994,78152
143309,Gsk3a,glycogen synthase kinase 3 alpha,606496,88581
35917,Gsk3b,glycogen synthase kinase 3 beta,56637,55629
14618,Gsx1,GS homeobox 1,14842,17092
14619,Gsx2,GS homeobox 2,14843,15377
43996,Gtf2e2,"general transcription factor II E, polypeptide 2 (beta subunit)",68153,37573
42310,Gtf2h5,"general transcription factor IIH, polypeptide 5",66467,45635
36358,Gtf2ird1,general transcription factor II I repeat domain-containing 1,57080,4158
42439,Gtf3a,general transcription factor III A,66596,55630
87736,Gtf3c1,general transcription factor III C 1,233863,31040
47593,Gtf3c2,"general transcription factor IIIC, polypeptide 2, beta",71752,37490
74163,Gusb,"glucuronidase, beta",110006,37271
14886,Hand1,heart and neural crest derivatives expressed transcript 1,15110,3545
14890,Hap1,huntingtin-associated protein 1,15114,2935
14906,Hbb-b2,"hemoglobin, beta adult minor chain",15130,
14976,Hbegf,heparin-binding EGF-like growth factor,15200,1466
49230,Hbp1,high mobility group box transcription factor 1,73389,8171
14941,Hcn1,"hyperpolarization-activated, cyclic nucleotide-gated K+ 1",15165,32093
14947,Hcrt,hypocretin,15171,1166
87114,Hcrtr1,hypocretin (orexin) receptor 1,230777,37492
122371,Hcrtr2,hypocretin (orexin) receptor 2,387285,1168
14958,Hdac2,histone deacetylase 2,15182,68187
14960,Hdac5,histone deacetylase 5,15184,3995
14961,Hdac6,histone deacetylase 6,15185,31353
14962,Hdc,histidine decarboxylase,15186,20490
89416,Hdx,highly divergent homeobox,245596,16963
87804,Helt,helt bHLH transcription factor,234219,18357
14981,Hes1,hairy and enhancer of split 1 (Drosophila),15205,38067
14982,Hes2,hairy and enhancer of split 2 (Drosophila),15206,22455
14983,Hes3,hairy and enhancer of split 3 (Drosophila),15207,7358
14984,Hes5,hairy and enhancer of split 5 (Drosophila),15208,7755
35214,Hes6,hairy and enhancer of split 6,55927,23111
58851,Hes7,hairy and enhancer of split 7 (Drosophila),84653,23779
14985,Hesx1,homeobox gene expressed in ES cells,15209,20831
14989,Hey1,hairy/enhancer-of-split related with YRPW motif 1,15213,7756
14990,Hey2,hairy/enhancer-of-split related with YRPW motif 2,15214,22705
35481,Heyl,hairy/enhancer-of-split related with YRPW motif-like,56198,8494
14992,Hfe,hemochromatosis,15216,88330
33717,Hgfac,hepatocyte growth factor activator,54426,1170
15018,Hhex,hematopoietically expressed homeobox,15242,31110
15021,Hhip,Hedgehog-interacting protein,15245,32469
15027,Hif1a,"hypoxia inducible factor 1, alpha subunit",15251,1171
32897,Hif3a,"hypoxia inducible factor 3, alpha subunit",53417,9646
74677,Hivep1,human immunodeficiency virus type I enhancer binding protein 1,110521,1596
15048,Hivep2,human immunodeficiency virus type I enhancer binding protein 2,15273,4900
16428,Hivep3,human immunodeficiency virus type I enhancer binding protein 3,16656,7803
85119,Hlf,hepatic leukemia factor,217082,31074
15059,Hlx,H2.0-like homeobox,15284,7363
85487,Hmbox1,homeobox containing 1,219150,11589
42710,Hmg20a,high mobility group 20A,66867,32399
15128,Hmg20b,high mobility group 20B,15353,74949
15136,Hmga1,high mobility group AT-hook 1,15361,
15139,Hmga2,high mobility group AT-hook 2,15364,2602
15064,Hmgb1,high mobility group box 1,15289,110676
15129,Hmgb3,high mobility group box 3,15354,84734
45159,Hmgb4,high-mobility group box 4,69317,83321
15087,Hmgn1,high mobility group nucleosomal binding domain 1,15312,3643
15106,Hmgn2,high mobility group nucleosomal binding domain 2,15331,128537
60980,Hmgn3,high mobility group nucleosomal binding domain 3,94353,3130
30371,Hmgn5,high-mobility group nucleosome binding domain 5,50887,47593
71059,Hmgxb3,HMG box domain containing 3,106894,44229
46664,Hmgxb4,HMG box domain containing 4,70823,4007
15146,Hmx1,H6 homeobox 1,15371,49241
15147,Hmx2,H6 homeobox 2,15372,24625
15148,Hmx3,H6 homeobox 3,15373,40612
21166,Hnf1a,HNF1 homeobox A,21405,459
21171,Hnf1b,HNF1 homeobox B,21410,396
15153,Hnf4a,"hepatic nuclear factor 4, alpha",15378,395
29932,Hnf4g,"hepatocyte nuclear factor 4, gamma",30942,37886
15159,Hnrnpab,heterogeneous nuclear ribonucleoprotein A/B,15384,74950
26303,Homer1,homer homolog 1 (Drosophila),26556,3155
88527,Homez,homeodomain leucine zipper-encoding gene,239099,10828
50159,Hopx,HOP homeobox,74318,15859
15169,Hoxa1,homeobox A1,15394,4032
15170,Hoxa10,homeobox A10,15395,7365
15171,Hoxa11,homeobox A11,15396,4033
15173,Hoxa13,homeobox A13,15398,73882
15174,Hoxa2,homeobox A2,15399,4901
15175,Hoxa3,homeobox A3,15400,40725
15176,Hoxa4,homeobox A4,15401,37583
15178,Hoxa6,homeobox A6,15403,7765
15179,Hoxa7,homeobox A7,15404,56001
15180,Hoxa9,homeobox A9,15405,7766
15182,Hoxb1,homeobox B1,15407,1615
15183,Hoxb13,homeobox B13,15408,4640
68056,Hoxb2,homeobox B2,103889,37584
15185,Hoxb3,homeobox B3,15410,1617
15187,Hoxb4,homeobox B4,15412,32095
15188,Hoxb5,homeobox B5,15413,37585
15189,Hoxb6,homeobox B6,15414,7366
15190,Hoxb7,homeobox B7,15415,55828
15191,Hoxb8,homeobox B8,15416,7768
15192,Hoxb9,homeobox B9,15417,7367
84109,Hoxc10,homeobox C10,209448,130362
73821,Hoxc11,homeobox C11,109663,128521
15196,Hoxc12,homeobox C12,15421,7769
15197,Hoxc13,homeobox C13,15422,7770
15198,Hoxc4,homeobox C4,15423,8408
15199,Hoxc5,homeobox C5,15424,41296
15200,Hoxc6,homeobox C6,15425,19533
15201,Hoxc8,homeobox C8,15426,130642
15202,Hoxc9,homeobox C9,15427,128283
15204,Hoxd1,homeobox D1,15429,7772
15205,Hoxd10,homeobox D10,15430,1619
15207,Hoxd12,homeobox D12,15432,7369
15208,Hoxd13,homeobox D13,15433,20147
15209,Hoxd3,homeobox D3,15434,5034
15211,Hoxd4,homeobox D4,15436,7773
15212,Hoxd8,homeobox D8,15437,10473
15213,Hoxd9,homeobox D9,15438,8409
15235,Hr,hairless,15460,3774
15240,Hrh1,histamine receptor H1,15465,668
63466,Hrh3,histamine receptor H3,99296,5232
15258,Hsd11b1,hydroxysteroid 11-beta dehydrogenase 1,15483,68471
15274,Hsf1,heat shock factor 1,15499,74556
56658,Hspb8,heat shock protein 8,80888,8654
15285,Hspd1,heat shock protein 1 (chaperonin),15510,1626
